X,Y,Name,Longitude,Latitude,Altitude (,Comments,Support He,Support Ty,of UL CEs,of DL CEs,Max Iub UL,Max Iub DL,Equipment,of EV-DO C,Max Backha,Max Backha_1,Alias,Operator,ID_Vtal,Name_2,icon_url
-46.6426000000291,-23.5261999988426,Claro_683911546,-46,-23,,R TENENTE PENA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6243800000292,-23.5218799988428,Claro_2337010,-46,-23,,AV PRESIDENTE CASTELO BRANCO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.772250000029,-23.6603799988381,Claro_683867342,-46,-23,,EST DE ITAPECERICA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6275000000293,-23.5572199988417,Claro_690812450,-46,-23,,R SÃO PAULO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6458300000291,-23.5391699988422,Claro_683894960,-46,-23,,AV SÃO JOÃO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6400500000291,-23.516379998843,Claro_1011649818,-46,-23,,R PROFESSOR MILTON RODRIGUES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6811100000291,-23.5608299988414,Claro_534592236,-46,-23,,R FRANCISCO LEITÃO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6189000000292,-23.5371299988423,Claro_1011649800,-46,-23,,R JULIO RIBEIRO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6201900000293,-23.5611899988416,Claro_431056170,-46,-23,,R DOS ALPES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6161800000293,-23.5652499988415,Claro_683874195,-46,-23,,R  FREIRE DA SILVA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.7219700000291,-23.6394699988389,Claro_1012126495,-46,-23,,AV DAS NACOES UNIDAS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6181500000292,-23.5308499988425,Claro_1006803170,-46,-23,,RUA CORONEL SILVA GOMES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6572300000292,-23.5604499988415,Claro_1015182248,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6679200000291,-23.5588199988415,Claro_683893645,-46,-23,,R DOUTOR MELO ALVES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6590500000291,-23.5586499988416,Claro_684147360,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6125100000293,-23.5402199988423,Claro_1009591395,-46,-23,,R DOUTOR RICARDO GONÇALVES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6610100000291,-23.5576299988416,Claro_1015182213,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6503300000292,-23.5659299988414,Claro_1353713,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6492200000292,-23.5439999988421,Claro_684338025,-46,-23,,R MARQUES DE ITU,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6133600000293,-23.5539799988418,Claro_683013262,-46,-23,,R ANDRÉ DE LEÃO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6314700000292,-23.5260799988427,Claro_431368287,-46,-23,,AV SANTOS DUMONT,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6793000000291,-23.5666699988413,Claro_697433080,-46,-23,,R JOAQUIM ANTUNES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.687650000029,-23.543629998842,Claro_683841939,-46,-23,,R CAIOWAA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6516700000292,-23.5661099988413,Claro_1010250741,-46,-23,,"AVENIDA PAULISTA, 901, BELA VISTA",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.688380000029,-23.5318099988424,Claro_688033229,-46,-23,,R CORONEL MELO OLIVEIRA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6661100000291,-23.5483299988419,Claro_1010112152,-46,-23,,"RUA DESEMBARGADOR PAULO PASSALAQUA, 308, PACAEMBU",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6384000000292,-23.5315999988425,Claro_396840035,-46,-23,,R JOSÉ PAULINO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.7297400000291,-23.6493099988386,Claro_1007231294,-46,-23,,AV MARIA COELHO AGUIAR,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6517000000291,-23.544739998842,Claro_399912622,-46,-23,,R DONA VERIDIANA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6564900000291,-23.546219998842,Claro_683032020,-46,-23,,R ITACOLOMI,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.679200000029,-23.5507999988418,Claro_3764079,-46,-23,,R OSCAR FREIRE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6551500000292,-23.5653799988414,Claro_683889273,-46,-23,,R PAMPLONA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6168900000293,-23.5348599988424,Claro_1005349964,-46,-23,,R MARIA MARCOLINA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6182300000293,-23.5364899988424,Claro_1011649834,-46,-23,,R BARAO DE LADARIO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
